;модель;^;мощность, л.с.;^;вес, кг;^;объём двигателя, куб.см.;^;кол-во цилиндров;^;топливный бак;^^;трос/ д/у;^;цена, у.е.;
;F25AMHS;^25^61^498^2^;пласт.24 л.;^^;нет;^4000
;F25AES;^25^65^498^2^;пласт.25 л.;^^;нет;^4430
;F40BETS;^40^86,1^747^3^;пласт.24 л.;^^;нет;^6390
;F40BETL;^40^94^747^3^;пласт.24 л.;^^;нет;^3920
;F50DETL;^50^108^935^4^;пласт.24 л.;^^;нет;^7550
;F60AETL;^;---;^;---;^;---;^;---;^;---;^^;---;^8120
;F80AETL;^80^166^1596^4^;пласт.24 л.;^^;нет;^10020
;F100CETL;^;---;^;---;^;---;^;---;^;---;^^;---;^11120
;F115AETL;^;---;^;---;^;---;^;---;^;---;^^;---;^13100
;F150AETL;^;---;^;---;^;---;^;---;^;---;^^;---;^15290
;F150AETX;^;---;^;---;^;---;^;---;^;---;^^;---;^15540
;F200AETX;^;---;^;---;^;---;^;---;^;---;^^;---;^17680
;FL200AETX;^;---;^;---;^;---;^;---;^;---;^^;---;^18400
;F225AETX;^;---;^;---;^;---;^;---;^;---;^^;---;^18200
;FL225AETX;^;---;^;---;^;---;^;---;^;---;^^;---;^18550
